model,price,avg_rating,5G_or_not,processor_brand,num_cores,processor_speed,battery_capacity,fast_charging_available,fast_charging,ram_capacity,internal_memory,screen_size,refresh_rate,num_rear_cameras,os,primary_camera_rear,primary_camera_front,extended_memory_available,resolution_height,resolution_width
Vivo Y01A,7790,6,0,helio,8,2.3,5000,1,10,2,32,6.51,60,1,android,8,5,1,1600,720
Vivo Y01,7999,6.1,0,helio,8,2.3,5000,0,0,2,32,6.51,60,1,android,8,5,1,1600,720
Vivo X90 Pro Plus 5G,73999,0,1,snapdragon,8,3.2,4700,1,80,12,256,6.78,120,4,android,0,32,0,3200,1440
Vivo X90 Pro 5G,56999,0,1,dimensity,8,3.05,4870,1,120,8,256,6.78,120,3,android,0,32,0,2800,1260
Vivo X90 5G,41990,8.8,1,dimensity,8,3.05,4810,1,120,8,128,6.78,120,3,android,50,32,0,2800,1260
Vivo X80 Pro Plus 5G,82990,0,1,snapdragon,8,3.2,4500,1,120,12,256,6.78,120,4,android,50,32,0,3200,1440
Vivo X80 Pro 5G,79999,0,1,snapdragon,8,3,4700,1,80,12,256,6.78,120,4,android,50,32,0,3200,1440
Vivo X80 5G (12GB RAM + 256GB),59999,8.8,1,dimensity,8,3.05,4500,1,80,12,256,6.78,120,3,android,50,32,0,2400,1080
Vivo X80 5G,54999,8.6,1,dimensity,8,3.05,4500,1,80,8,128,6.78,120,3,android,50,32,0,2400,1080
Vivo X Note 5G (12GB RAM + 512GB),82990,0,1,snapdragon,8,3,5000,1,80,12,512,7,120,4,android,50,16,0,3080,1440
Vivo X Fold Plus,113990,0,1,snapdragon,8,3.2,4730,1,80,12,256,8.03,120,4,android,50,16,0,2160,1916
Vivo X Fold 5G (12GB RAM + 512GB),118990,0,1,snapdragon,8,3,4600,1,66,12,512,8.03,120,4,android,50,16,0,2160,1916
Vivo X Fold 5G,106990,0,1,snapdragon,8,3,4600,1,66,12,256,8.03,120,4,android,50,16,0,2160,1916
Vivo X Fold 2,119990,0,1,snapdragon,8,3.2,4800,1,66,12,256,8.03,120,3,android,50,32,0,2160,1916
Vivo V29,32990,8.4,1,snapdragon,8,2.4,5000,1,80,8,256,6.67,120,3,android,64,32,1,2400,1080
Vivo V28,28990,8.4,1,snapdragon,8,2.2,5000,1,80,8,256,6.7,120,3,android,108,32,1,2400,1080
Vivo V27 Pro,43999,8.7,1,dimensity,8,3.2,5000,1,120,12,256,6.73,144,3,android,108,32,0,2400,1080
Vivo V27,27990,8.3,1,dimensity,8,2.2,4700,1,67,8,256,6.56,120,3,android,64,50,1,2400,1080
Vivo V26 Pro,42990,8.7,1,dimensity,8,3.2,4800,1,100,12,256,6.7,120,3,android,64,32,0,2400,1080
Vivo V25e,19990,8.4,0,helio,8,2.2,4500,1,44,8,256,6.44,90,3,android,64,32,1,2400,1080
Vivo V25 Pro 5G,35999,8.5,1,dimensity,8,3,4830,1,66,8,128,6.56,120,3,android,64,32,0,2376,1080
Vivo V25 Pro (12GB RAM + 256GB),39999,8.6,1,dimensity,8,3,4830,1,66,12,256,6.56,120,3,android,64,32,0,2376,1080
Vivo V25 5G,27999,8.3,1,dimensity,8,2,4500,1,44,8,128,6.44,90,3,android,64,50,1,2408,1080
Vivo V25 (12GB RAM + 256GB),31999,8.5,1,dimensity,8,2,4500,1,44,12,256,6.44,90,3,android,64,50,1,2408,1080
Vivo V23e 5G,21994,8.4,1,dimensity,8,2.4,4050,1,44,8,128,6.44,60,3,android,50,44,1,2400,1080
Vivo V23e,26990,8.2,0,helio,8,2.05,4050,1,44,8,128,6.44,60,3,android,64,50,0,2400,1080
Vivo V23 Pro 5G (12GB RAM + 256GB),36994,8.7,1,dimensity,8,3,4300,1,44,12,256,6.56,90,3,android,108,50,0,2376,1080
Vivo V23 Pro 5G,31994,8.5,1,dimensity,8,3,4300,1,44,8,128,6.56,90,3,android,108,50,0,2376,1080
Vivo V23 5G (12GB RAM + 256GB),27994,8.6,1,dimensity,8,2.5,4200,1,44,12,256,6.44,90,3,android,64,50,1,2400,1080
Vivo V23 5G,24994,8.3,1,dimensity,8,2.5,4200,1,44,8,128,6.44,90,3,android,64,50,0,2400,1080
Vivo V21s,29999,8.6,1,dimensity,8,2.4,4000,1,33,8,128,6.44,90,3,android,64,44,1,2400,1080
Vivo V21 Pro,32999,8.5,1,snapdragon,8,2.4,4300,1,33,8,128,6.44,60,4,android,64,44,0,2400,1080
Vivo V21 5G,23994,8.5,1,dimensity,8,2.4,4000,1,33,8,128,6.44,90,3,android,64,44,1,2400,1080
Vivo V21,24999,8.3,0,dimensity,8,2.4,4000,1,33,8,128,6.44,90,3,android,64,44,1,2400,1080
Vivo V20 SE,19000,8.2,0,snapdragon,8,2,4100,1,33,8,128,6.44,60,3,android,48,32,1,2400,1080
Vivo V20 Pro,27000,8.4,1,snapdragon,8,2.4,4000,1,33,8,128,6.44,60,3,android,64,44,0,2400,1080
Vivo V20,23269,8.5,0,snapdragon,8,2.3,4000,1,33,8,128,6.44,60,3,android,64,44,1,2400,1080
Vivo V19 (8GB RAM + 256GB),27990,8.4,0,snapdragon,8,2.3,4500,1,33,8,256,6.44,60,4,android,48,32,1,2400,1080
Vivo V15 Pro (8GB RAM +128GB),25000,7.8,0,snapdragon,8,2,3700,1,0,8,128,6.39,60,3,android,48,32,1,2316,1080
Vivo V11i,20990,7,0,helio,8,2,3315,0,0,4,128,6.3,60,2,android,16,25,1,2280,1080
Vivo U3x,8990,7.1,1,snapdragon,8,2,5000,1,18,6,64,6.58,90,2,android,13,8,0,2408,1080
Vivo U3 (6GB RAM + 64GB),11990,7.4,0,snapdragon,8,2,5000,1,18,6,64,6.53,60,3,android,16,16,1,2340,1080
Vivo U3,9990,7.2,0,snapdragon,8,2,5000,1,18,4,64,6.53,60,3,android,16,16,1,2340,1080
Vivo T3 Pro,31990,8.6,1,snapdragon,8,2.7,4700,1,80,8,256,6.67,120,3,android,64,32,1,2408,1080
Vivo T2x 5G,18990,8,1,dimensity,8,3,6000,1,44,8,128,6.58,120,2,android,50,16,0,2408,1080
Vivo T2 Pro 5G,29990,7.6,1,snapdragon,8,0,4500,1,67,8,128,6.44,90,3,android,50,16,1,2408,1080
Vivo T2 5G,24990,8.5,1,snapdragon,8,3.2,4700,1,80,8,128,6.62,120,3,android,64,16,1,2400,1080
Vivo T1x 4G,11999,7.4,0,snapdragon,8,2.4,5000,1,18,4,64,6.58,90,2,android,50,8,1,2408,1080
